f1,f2,m1,m2,damage
7.504,15.9,0.9998684784651881,0.9984166198751188,0
7.3132,15.455,0.999931112853578,0.9973009867735377,0
7.3141,15.518,0.999963158459012,0.9976537999083162,0
7.2938,15.435,0.9999464734079226,0.9977922479727502,0
7.2723,15.382,0.9999363746543954,0.9978948525746745,0
7.2496,15.294,0.9998836997408244,0.9978630667576589,0
7.2511,15.329,0.9998829600222059,0.9981785957724425,0
7.2942,15.434,0.9997540261382388,0.9984298124100304,0
7.2205,15.365,0.9999471775059967,0.998611860351017,0
7.1848,15.26,0.9999175338770483,0.9985911383398849,0
7.2831,15.464,0.9995511326764773,0.9985527375214542,0
7.1329,15.125,0.9998485400250519,0.9986079592754548,0
7.1389,15.18,0.9998203754803365,0.9988270440227764,0
7.0723,15.02,0.9998565847722906,0.9987323926758129,0
7.114,15.096,0.9995975455926984,0.9985934880433849,0
7.1395,15.201,0.9994612338813089,0.99859703121604,0
7.2791,15.495,0.9999242055865277,0.9987176470597026,0
7.2568,15.442,0.9998233307677024,0.9988518831610818,0
7.2345,15.39,0.9997779476769897,0.9988451229841355,0
7.1826,15.286,0.9999774084872206,0.9983647388162198,0
7.1916,15.286,0.9998588565460201,0.9987649921246933,0
7.2732,15.414,0.9999406394791588,0.9982035975829229,0
7.1626,15.206,0.9998880760618525,0.9986394774224107,0
7.2148,15.282,0.9998729615590454,0.9984446254312987,0
7.2072,15.254,0.9999163208324805,0.9982078313904774,0
7.1987,15.224,0.9999380303016852,0.9978880970267888,0
7.1917,15.195,0.9999020482774283,0.9980450341043159,0
7.1982,15.19,0.9998095418622155,0.998127859679442,0
7.2189,15.208,0.9997910896595641,0.9979259137750737,0
7.1667,15.104,0.9999032341989907,0.9975134663633293,0
7.2012,15.143,0.999694172642896,0.9977555729078135,0
7.3501,15.531,0.9996495487866096,0.9982497624202497,0
7.3367,15.508,0.9997010400497335,0.9983083266141278,0
7.2598,15.41,0.9994795760197134,0.998442618133432,0
7.3449,15.505,0.9998653922890588,0.998002685485409,0
7.2423,15.33,0.9997085303223961,0.9984680453366216,0
7.2867,15.494,0.999821653406344,0.998805018339649,0
7.2954,15.467,0.999925830249957,0.9983440483206137,0
7.1918,15.195,0.9998533768147366,0.9982103663657274,0
7.206,15.22,0.999914405082841,0.9978907673662586,0
7.0869,15.016,0.9997594421050521,0.9985937515152868,0
7.1324,15.154,0.999891986726923,0.9986963738141608,0
7.2111,15.31,0.9999679033534059,0.9976818089213151,0
7.1243,15.127,0.9999687400219647,0.9982205977185561,0
7.1144,15.067,0.9999520801360895,0.9974665253451923,0
7.1455,15.275,0.9999898440894777,0.9981749474450501,0
7.1149,15.118,0.9992955343318546,0.998221795919796,1
7.0699,15.011,0.9992855534819401,0.9981629553174316,1
7.0112,14.877,0.9993587407493787,0.9982641507641294,1
7.0156,14.957,0.9993505469209794,0.9984833426966483,1
6.9841,14.902,0.9993397687189601,0.998492558431934,1
7.0359,14.971,0.9985128040265483,0.9965511897740753,1
6.9877,14.921,0.9988153408118638,0.9974245707741922,1
6.9831,14.857,0.9982155449553499,0.9957816720344914,1
7.0034,14.96,0.9978882706004973,0.9950544551371316,1
6.9715,14.905,0.9978413558445905,0.9949527826313388,1
6.9346,14.874,0.9980440568077822,0.995563878089526,1
6.8702,14.716,0.9981642427064732,0.9958678590582872,1
6.8673,14.711,0.9976969970790573,0.994597349828872,1
6.8934,14.805,0.9969864476652015,0.992583577033364,1
6.9296,14.967,0.996300672575421,0.9905196915745155,1
6.8023,14.614,0.9970305755557363,0.9927163808294484,1
6.789,14.58,0.9964651298343095,0.9910175367836307,1
6.7697,14.617,0.9966289796921964,0.9915021494678323,1
6.7456,14.562,0.9962039924710695,0.9902196906365281,1
6.7655,14.651,0.9952755424724241,0.9872789286427951,1
6.7346,14.592,0.9949671801420901,0.9862805178621514,2
6.6647,14.41,0.995134979067664,0.9868469238428064,2
6.6417,14.417,0.9951113980723931,0.9866828480493395,2
6.6267,14.424,0.9947004885828207,0.9852702618525321,2
6.5008,14.107,0.9959599710125562,0.989308653510506,2
6.5306,14.224,0.9946720378787318,0.9851323558691449,2
6.5345,14.267,0.9935674237169406,0.9814325062909314,2
6.5257,14.28,0.992640508276968,0.9782230775175925,2
