f1,f2,MAC1,MAC2,LABEL
5.9548,13.882,0.9999692643,0.9993532570,4
5.9452,13.849,0.9999643864,0.9993103317,4
5.9057,13.742,0.9999668984,0.9993586977,4
5.9376,13.787,0.9999377367,0.9993586841,4
5.9358,13.75,0.9999035072,0.9993536849,4
5.9026,13.739,0.9999370590,0.9987080309,4
5.8523,13.621,0.9999372497,0.9985800059,4
5.8827,13.618,0.9998999896,0.9990896306,4
5.8759,13.65,0.9999089265,0.9983724146,4
5.8409,13.521,0.9999021121,0.9988146993,4
5.8605,13.594,0.9998824448,0.9980982475,4
5.8489,13.591,0.9998704701,0.9974023270,4
5.8042,13.45,0.9998787355,0.9978776186,4
5.8056,13.398,0.9998349207,0.9982672666,4
5.793,13.375,0.9998313101,0.9979354997,4
5.7918,13.403,0.9998225176,0.9970738348,4
5.7058,13.138,0.9998247037,0.9978303288,5
5.7533,13.254,0.9997549773,0.9969767644,5
5.7308,13.173,0.9997278193,0.9971097024,5
5.7181,13.139,0.9997114782,0.9968007575,5
5.7015,13.139,0.9997248257,0.9957196290,5
5.6749,13.033,0.9996994249,0.9962515046,5
5.6637,12.989,0.9996652837,0.9960972635,5
5.6552,12.989,0.9996563304,0.9951757259,5
5.6316,12.946,0.9996496952,0.9944324679,5
5.6341,12.915,0.9995912546,0.9945398346,5
5.579,12.805,0.9996235347,0.9939368153,5
5.6079,12.874,0.9995453152,0.9927229188,5
5.5911,12.82,0.9995162861,0.9924739483,5
5.5253,12.678,0.9995393333,0.9919529811,5
5.5423,12.679,0.9994735087,0.9920036534,5
5.5358,12.612,0.9993982955,0.9925348503,5
5.5111,12.562,0.9993916013,0.9917127131,5
5.4681,12.406,0.9993563501,0.9928117993,5
5.4887,12.454,0.9992582534,0.9914043746,5
5.4333,12.332,0.9992437647,0.9898458828,6
5.4403,12.306,0.9991161813,0.9896413431,6
5.4125,12.27,0.9991275167,0.9879441929,6
5.3847,12.167,0.9990762627,0.9883572044,6
5.3713,12.097,0.9989794890,0.9883480545,6
5.3617,12.087,0.9989344980,0.9866132135,6
5.3238,11.954,0.9988801758,0.9873234924,6
5.3224,11.987,0.9988302155,0.9843220452,6
5.3007,11.877,0.9987197494,0.9851852108,6
5.2591,11.774,0.9987202782,0.9846091723,6
5.2332,11.663,0.9986083951,0.9850977054,6
5.2049,11.618,0.9986099266,0.9831450175,6
5.1946,11.559,0.9984780563,0.9825285514,6
5.1585,11.464,0.9984457872,0.9817650864,6
5.1415,11.408,0.9983468797,0.9805008800,6
5.1107,11.297,0.9982499410,0.9805230229,6
5.0856,11.219,0.9981617501,0.9794695335,6
5.0575,11.131,0.9980717311,0.9785814424,6
5.0257,11.042,0.9980013318,0.9774210105,6
5.9804,14.024,0.9999521067,0.9995517577,7
6.0096,14.155,0.9998833998,0.9990108535,7
5.966,13.992,0.9999359856,0.9995075115,7
6.0058,14.168,0.9998319828,0.9987717986,7
5.9175,13.896,0.9998900200,0.9989050536,7
5.9478,14.022,0.9998084862,0.9983613967,7
5.9349,13.984,0.9998089618,0.9984988071,7
5.9128,13.915,0.9998190174,0.9986423448,7
5.9375,14.056,0.9996486546,0.9971777558,7
5.942,14.112,0.9995190541,0.9960264677,7
5.9605,14.173,0.9994690644,0.9962693158,7
5.9197,14.084,0.9993950321,0.9950433869,7
5.8609,13.869,0.9995653480,0.9965961970,7
5.8701,13.94,0.9994111988,0.9953647234,7
5.8135,13.764,0.9994808078,0.9956522812,7
5.8912,14.072,0.9991108026,0.9934707243,7
5.8352,13.85,0.9993590922,0.9957555572,7
5.8679,14.06,0.9988627581,0.9914071743,7
5.7899,13.776,0.9991678857,0.9938107887,7
5.7437,13.639,0.9991933134,0.9944308309,8
5.7259,13.605,0.9991244094,0.9939485553,8
5.754,13.791,0.9985982752,0.9894652250,8
5.712,13.651,0.9987203013,0.9906029995,8
5.7134,13.694,0.9985041764,0.9891772097,8
5.7277,13.779,0.9982391955,0.9878166796,8
5.6916,13.651,0.9983911155,0.9894630074,8
5.7498,13.936,0.9976114826,0.9844336378,8
5.6637,13.66,0.9978535739,0.9849388695,8
5.6504,13.629,0.9978163271,0.9854857240,8
5.6289,13.59,0.9976773932,0.9845686605,8
5.6424,13.697,0.9971822076,0.9814044713,8
5.6007,13.581,0.9971775934,0.9811456151,8
5.5311,13.353,0.9974314560,0.9824414405,8
5.5442,13.476,0.9967613380,0.9775397724,8
5.513,13.397,0.9967017381,0.9773305216,8
5.4872,13.349,0.9965042428,0.9759350432,8
5.466,13.287,0.9965668671,0.9778062481,8
5.4583,13.331,0.9960022022,0.9736860950,8
5.4408,13.385,0.9950950091,0.9684747705,9
5.4165,13.365,0.9946222960,0.9648360971,9
5.3943,13.312,0.9945851237,0.9663161887,9
5.3535,13.21,0.9944763977,0.9656149958,9
5.3748,13.394,0.9932286288,0.9581194023,9
5.3314,13.279,0.9931710331,0.9580435557,9
5.3065,13.266,0.9925634451,0.9539562577,9
5.2688,13.163,0.9925965846,0.9557069699,9
5.2479,13.17,0.9918953001,0.9515230548,9
5.2379,13.218,0.9910978560,0.9479018575,9
5.168,13.023,0.9910314896,0.9455269985,9
5.1092,12.864,0.9909472980,0.9443024896,9
5.1222,13.04,0.9893762164,0.9362840974,9
5.0838,12.965,0.9890620075,0.9358368392,9
5.0304,12.85,0.9886059853,0.9319776008,9
5.004,12.85,0.9877683489,0.9283225528,9
4.9585,12.756,0.9874254761,0.9276120594,9
4.9099,12.667,0.9868698138,0.9244656151,9
4.8874,12.699,0.9857841472,0.9207274578,9
5.9711,13.79,0.9999171528,0.9990535695,1
5.9373,13.702,0.9999221250,0.9991941605,1
5.8911,13.59,0.9999394914,0.9994727949,1
5.9269,13.673,0.9999257151,0.9987490240,1
5.9094,13.623,0.9999237416,0.9986479916,1
5.9182,13.568,0.9997735975,0.9976415948,1
5.9131,13.576,0.9998306936,0.9974319284,1
5.8865,13.453,0.9996935841,0.9970690394,1
5.9194,13.509,0.9996201415,0.9953941802,1
5.8998,13.457,0.9996240784,0.9952632678,1
5.8988,13.456,0.9996436090,0.9945197846,1
5.8539,13.347,0.9996717338,0.9952737617,1
5.8504,13.307,0.9995808481,0.9942958441,1
5.8739,13.316,0.9994017967,0.9918348066,1
5.9193,13.385,0.9992320240,0.9875832341,1
5.8183,13.169,0.9994010689,0.9920153645,1
5.8047,13.107,0.9992932936,0.9911792278,1
5.8212,13.145,0.9993054025,0.9888342730,1
5.8036,13.074,0.9991971153,0.9880795857,1
5.8211,13.066,0.9989539850,0.9846063779,1
5.8043,13.009,0.9988937499,0.9836843835,2
5.7553,12.889,0.9989062991,0.9853129963,2
5.7588,12.887,0.9988861013,0.9827733192,2
5.7563,12.857,0.9987828237,0.9803162327,2
5.6636,12.696,0.9991607338,0.9859318509,2
5.7021,12.713,0.9987598715,0.9798444628,2
5.6988,12.66,0.9985011654,0.9770763678,2
5.7068,12.629,0.9981821523,0.9726780125,2
5.6586,12.505,0.9981189473,0.9747991628,2
5.6927,12.532,0.9977622955,0.9664386544,2
5.6528,12.436,0.9977808682,0.9676429122,2
5.6067,12.332,0.9978619249,0.9696090166,2
5.6157,12.3,0.9974399859,0.9639053588,2
5.578,12.209,0.9974642574,0.9646678239,2
5.5849,12.199,0.9973169055,0.9578843410,2
5.5819,12.137,0.9968057993,0.9530743658,2
5.5466,12.037,0.9966331751,0.9537019891,2
5.53,11.978,0.9964926371,0.9502330175,2
5.5027,11.905,0.9964511478,0.9484731365,2
5.4882,11.832,0.9960241114,0.9448455090,2
5.4513,11.739,0.9959575201,0.9451818570,3
5.4671,11.722,0.9954539037,0.9327834244,3
5.4307,11.632,0.9954046741,0.9324045126,3
5.4054,11.53,0.9947460710,0.9317714513,3
5.3843,11.468,0.9946841604,0.9261211478,3
