f1,f2,MAC1,MAC2,LABEL
7.5536,15.919,0.99982428927355,0.99851182814946,0
7.3641,15.474,0.9999062362254,0.99747936771759,0
7.3544,15.52,0.99994299585294,0.99776131343797,0
7.3403,15.457,0.99992422924467,0.99794049256296,0
7.3241,15.401,0.9998935253232,0.99803403616675,0
7.3017,15.319,0.99983737807681,0.99797958572493,0
7.305,15.362,0.99983480339998,0.99830998807207,0
7.3344,15.435,0.99971567913942,0.99847337285393,0
7.2599,15.367,0.99991996040553,0.99871709358315,0
7.2406,15.3,0.99986479971411,0.99874675285127,0
7.3303,15.485,0.9994876467031,0.99856713857691,0
7.1793,15.141,0.99979497825783,0.99868016573746,0
7.1792,15.189,0.9997865358569,0.99891406753593,0
7.1229,15.054,0.9998055717202,0.99884943805355,0
7.1574,15.117,0.99955999116222,0.99867146442754,0
7.1942,15.191,0.99939088289794,0.99840778197053,0
7.2518,15.272,0.99993045070348,0.9978110046953,0
7.3209,15.401,0.99981568979148,0.99838104545514,0
7.1702,15.114,0.99970658141218,0.99864441788652,0
7.3587,15.502,0.99940944954966,0.99824934537571,0
7.3132,15.372,0.99986298495878,0.99815944273678,0
7.2377,15.246,0.99992943367396,0.99800552561491,0
7.2815,15.408,0.99981598395,0.99890093101978,0
7.3328,15.423,0.99959079391741,0.99835238684425,0
7.1786,15.143,0.99980236093143,0.99869450827692,0
7.1777,15.202,0.9994148017829,0.99861890414691,0
7.3271,15.515,0.99989093668186,0.9988318277333,0
7.3077,15.468,0.99977568851155,0.9989287839403,0
7.2787,15.404,0.99969421112353,0.99890281225927,0
7.2296,15.307,0.99995953865609,0.99842506928217,0
7.2406,15.309,0.99979259715127,0.99886444138888,0
7.3324,15.453,0.99990328857237,0.99831935346537,0
7.2053,15.219,0.9998711357829,0.99870747529822,0
7.2651,15.306,0.99981670819861,0.99854879678648,0
7.2459,15.258,0.99988297548014,0.99834477531101,0
7.2569,15.262,0.99990191552178,0.9980258969344,0
7.2385,15.214,0.99986657505657,0.99815442059625,0
7.2534,15.222,0.99976153493384,0.99817287727229,0
7.2651,15.224,0.99974116067998,0.99800339174398,0
7.2096,15.116,0.9998782716146,0.99760158607008,0
7.2593,15.179,0.99965025661699,0.99775467670328,0
7.3882,15.527,0.99956009038435,0.99823818075991,0
7.3822,15.515,0.9996419479123,0.99830818442647,0
7.3122,15.433,0.9994436148407,0.99844471455306,0
7.392,15.524,0.9998204467572,0.99814314535842,0
7.2817,15.331,0.99963207310151,0.99848446301816,0
7.3346,15.511,0.9997802401638,0.99886710076333,0
7.2459,15.231,0.99982035647481,0.99830007701493,0
7.2494,15.235,0.99987690019377,0.99808573761521,0
7.1328,15.037,0.99970442680678,0.99865895117221,0
7.1703,15.155,0.99983674217758,0.99882008254915,0
7.2511,15.316,0.99995291485154,0.99795292184455,0
7.1644,15.131,0.99993849836971,0.99839697218754,0
7.1514,15.062,0.99993392164422,0.99769668110523,0
7.1954,15.306,0.99997716924597,0.99834317064488,0
7.1672,15.154,0.9991841372425,0.99811061455349,1
7.1172,15.039,0.99921133159433,0.99813503063148,1
7.0496,14.882,0.99931510218833,0.99828110798434,1
7.0663,14.993,0.99924194697892,0.99839466670086,1
7.0326,14.931,0.99923221104605,0.99840126340081,1
7.074,14.973,0.99845024394143,0.99645292270951,1
7.031,14.943,0.99873315191207,0.99733201550975,1
7.0265,14.869,0.99807953832969,0.99544902394153,1
7.0472,14.977,0.99774874542738,0.99470367978475,1
7.0086,14.907,0.99776607952976,0.99478281680829,1
6.9796,14.894,0.99786801061627,0.99514519610807,1
6.9169,14.742,0.99798065824531,0.99543892783097,1
6.9103,14.735,0.99757641258802,0.99430310763972,1
6.9358,14.823,0.99682370704103,0.99210208476913,1
6.9675,14.975,0.99618297732597,0.9901457072448,1
6.846,14.634,0.99681275336214,0.99207089618597,1
6.8279,14.596,0.99636255084424,0.99067695269458,1
6.8102,14.635,0.99646180352791,0.99100054386778,1
6.7878,14.586,0.99601016484703,0.98959150110216,1
6.9943,14.916,0.9976423373393,0.99449439438668,1
6.8968,14.724,0.99784220901754,0.99507940982323,1
6.8837,14.735,0.99708065242533,0.99289240772852,1
6.8485,14.671,0.99625216087418,0.99035534427775,1
6.8133,14.672,0.99578399810226,0.9888557241444,1
6.8037,14.659,0.99507104452596,0.9865487369066,1
6.7715,14.605,0.99484238861516,0.98578401561479,2
6.7097,14.444,0.99485441174651,0.98583594375669,2
6.6847,14.446,0.99483213066553,0.98570326783235,2
6.6646,14.439,0.99447478285926,0.98445194070496,2
6.5308,14.104,0.99588551065905,0.98907739173916,2
6.5725,14.255,0.99438749716884,0.98410798592951,2
6.566,14.264,0.99342051171258,0.98080989891031,2
6.5676,14.312,0.9922909513131,0.97679676908958,2
6.5123,14.163,0.991978262655,0.97576685720853,2
6.5263,14.291,0.99086001639075,0.97150244969117,2
6.468,14.157,0.99089363263156,0.97163135959897,2
6.4012,13.998,0.99113889068356,0.97253700498488,2
6.4013,14.057,0.98972185221891,0.96720108712678,2
6.3428,13.929,0.98978912567996,0.96742719474656,2
6.3182,13.947,0.98947493136017,0.96590129282303,2
6.311,13.979,0.98775702672549,0.95929540171429,2
6.2645,13.879,0.98710351205776,0.95679831285634,2
6.1716,13.735,0.9866567311678,0.95465566742282,2
6.7526,14.574,0.99534962852228,0.98741933157478,2
6.6736,14.408,0.99494805329705,0.98610245357556,2
6.6763,14.485,0.99302084965941,0.9795032513667,2
6.5753,14.284,0.99314234612284,0.97986504902825,2
6.5275,14.249,0.99215410355344,0.9762327231155,2
6.1458,13.72,0.98527556271631,0.94904891223827,2
6.0891,13.603,0.98503874364539,0.94802991578386,3
6.0757,13.675,0.98378046442546,0.94222426220902,3
6.0166,13.556,0.98364410133407,0.94151646621724,3
5.9894,13.534,0.98142823183783,0.93226367577575,3
5.9348,13.455,0.98148718347493,0.93199944793701,3
5.8333,13.186,0.98333939943687,0.93970353713921,3
5.8479,13.333,0.97865582973601,0.91937706608793,3
5.8291,13.414,0.97667680318903,0.90935405706233,3
5.7562,13.234,0.97632349520784,0.90791639133147,3
5.6858,13.086,0.97641444644672,0.90802913123484,3
5.6586,13.143,0.97434493770067,0.89710679752953,3
5.593,13.029,0.97425841926836,0.89597768273489,3
5.5589,13.05,0.97136180167907,0.88101503706864,3
5.4978,12.968,0.97082340733884,0.87719102997899,3
5.4341,12.85,0.96891214142353,0.86744046598285,3
5.3961,12.908,0.9667572982043,0.85357889273921,3
5.2852,12.554,0.96786217940905,0.86082416141391,3
5.2693,12.738,0.9629135284252,0.83044689105603,3
5.162,12.416,0.96406687216693,0.83779503914994,3
6.1277,13.776,0.98430983148374,0.94448061083228,3
5.9755,13.615,0.97954805780394,0.92331991296078,3
5.849,13.369,0.97955734301208,0.92273086680032,3
5.5561,13.031,0.97128338183798,0.88089049206951,3
5.3141,12.714,0.96612548890701,0.85023583895795,3
5.1318,12.56,0.95987814416185,0.80939115055181,3
7.174,15.02,0.99977609599209,0.99786050868921,4
7.1194,14.911,0.99967667400086,0.99799979163817,4
7.1843,15,0.99976134482414,0.99744230315931,4
7.1855,14.983,0.99976597886126,0.99717242271113,4
7.1774,14.95,0.99973706537641,0.9970606393991,4
7.1055,14.813,0.99975895394768,0.99719740834576,4
7.1832,14.919,0.99955180247628,0.99676817623185,4
7.1891,14.909,0.99936007764175,0.9964190168518,4
7.1411,14.81,0.99968889237445,0.99622581435658,4
7.0481,14.64,0.99974839591941,0.99625532800957,4
7.1179,14.729,0.99941941450406,0.99613301202937,4
7.1247,14.716,0.99958562734215,0.99560972199604,4
7.0582,14.588,0.99949724869381,0.99594552158665,4
7.1198,14.661,0.99949230652655,0.99508070300577,4
7.1138,14.628,0.99952124950395,0.99443027675891,4
7.0276,14.469,0.99952982751213,0.99496138067093,4
7.0388,14.461,0.99927485218744,0.99476501782676,4
7.0286,14.419,0.99930898647864,0.99446177084545,4
7.0474,14.421,0.99936280641815,0.99368064602744,4
7.295,15.181,0.99972858712795,0.99682794037216,4
7.242,15.013,0.99950655107938,0.99643215870772,4
7.195,14.896,0.99965527752311,0.99586997476254,4
7.1933,14.799,0.99938950721085,0.99498191167098,4
6.9559,14.255,0.99940706092252,0.9940707491011,4
6.8843,14.118,0.99934031962031,0.99444724738823,5
7.0061,14.274,0.99911262579525,0.99290476316649,5
6.9697,14.191,0.9990005641492,0.99275683681039,5
6.9593,14.146,0.9989753616422,0.99235366598305,5
6.9475,14.097,0.99912667891248,0.99168631833639,5
6.8998,13.995,0.99900803818898,0.99186566427137,5
6.8911,13.951,0.99889634746301,0.9913930080943,5
6.8952,13.923,0.9989367466068,0.99059385460541,5
6.8643,13.846,0.99896370961949,0.98999456978169,5
6.8839,13.838,0.99875120616192,0.98942558605138,5
6.7837,13.662,0.99892767081064,0.9894379243136,5
6.8706,13.747,0.99867007021727,0.98754219553733,5
6.8515,13.681,0.99859171707434,0.98705772616196,5
6.7255,13.473,0.99870666161073,0.98705750085356,5
6.7795,13.503,0.99850029090551,0.98632962633646,5
6.7774,13.456,0.99824916286798,0.98598102394382,5
6.7455,13.371,0.99826985681685,0.98529072330528,5
6.6589,13.212,0.99815585312579,0.98591007638792,5
6.7304,13.261,0.99785271675357,0.98369983633937,5
7.095,14.375,0.99902570123044,0.99134467142452,5
7.0282,14.214,0.99894838414546,0.99097665019134,5
6.9988,14.106,0.99888062520619,0.98993672296977,5
6.9079,13.835,0.99847510549627,0.98844957516845,5
6.8878,13.731,0.99851616741198,0.98657307690013,5
6.4981,12.908,0.99843841566842,0.9859501591724,5
6.6532,13.065,0.99788247954638,0.98236243851648,6
6.686,13.056,0.9974657474866,0.98088301334765,6
6.6537,12.965,0.99751458746834,0.9795677496277,6
6.6065,12.851,0.99739901956333,0.97948581095005,6
6.5931,12.778,0.99710143039891,0.97853805441609,6
6.6016,12.731,0.99694890908037,0.976585055659,6
6.5292,12.584,0.99683276398434,0.97675267427433,6
6.5641,12.565,0.99657452119655,0.97352245380921,6
6.5267,12.454,0.99630666070705,0.97333518209177,6
6.456,12.307,0.99634250373621,0.97287201423088,6
6.4108,12.187,0.99603133009914,0.9722998024614,6
6.3798,12.081,0.99599855089756,0.97052506923392,6
6.377,12.003,0.99557558956115,0.96875996607513,6
6.3191,11.863,0.99547557148049,0.96776119948645,6
6.3059,11.769,0.99510304702,0.96565268138037,6
6.2534,11.629,0.99485103128869,0.96485697225422,6
6.2205,11.508,0.99452983442316,0.96306722010559,6
6.1795,11.376,0.99421302360108,0.96142039582534,6
6.1322,11.234,0.99392134895944,0.95963514500054,6
7.1196,15.058,0.99996037380539,0.99791562902337,7
7.1614,15.17,0.99989509490504,0.99693990435255,7
7.0734,15.003,0.99996809982287,0.99796266164274,7
7.1332,15.156,0.99984661174412,0.99653562674375,7
7.0253,14.86,0.99989296763945,0.99689354157469,7
7.0584,14.971,0.99977989927026,0.99593563683762,7
7.0235,14.921,0.99980388538362,0.99616924777939,7
6.9787,14.84,0.99983554452562,0.99645834685078,7
7.0292,14.956,0.99948586766207,0.99394204410714,7
7.0411,14.993,0.99918237138973,0.99208237437944,7
7.0326,15.042,0.99918236041198,0.99218922607402,7
7.0015,14.933,0.99890233631301,0.99049893901347,7
6.8963,14.703,0.99933562958508,0.99305091883681,7
6.9107,14.756,0.99898424603288,0.99100285181407,7
6.8338,14.562,0.99910936470322,0.99167917308738,7
6.9207,14.854,0.99835584664466,0.98762744831837,7
6.8079,14.618,0.99903169619031,0.99137215302973,7
6.8877,14.81,0.99772435971254,0.98433459188932,7
6.7627,14.506,0.99849417756741,0.9883699524196,7
7.2371,15.323,0.99980210511666,0.99607327581609,7
7.1883,15.267,0.99979901597466,0.99612115544446,7
7.0986,15.081,0.99982767811044,0.99636848712846,7
7.0014,14.883,0.99935067578043,0.99305749524056,7
6.9007,14.727,0.99862075319087,0.98894852979044,7
6.7444,14.509,0.99838599124858,0.98782100746539,7
6.6675,14.334,0.99865346150408,0.98926676583242,8
6.6381,14.283,0.99850307032827,0.98845556983146,8
6.702,14.455,0.99710347943406,0.98120857986642,8
6.6291,14.294,0.99746130535701,0.98302419741334,8
6.6235,14.32,0.99696922282346,0.98054776684488,8
6.625,14.384,0.99645032275627,0.9779572247606,8
6.551,14.232,0.9969592056605,0.98046737512758,8
6.6223,14.5,0.99519941357905,0.97173197721485,8
6.5264,14.215,0.99548425629567,0.97320461383122,8
6.4828,14.156,0.99559789806963,0.97370938620365,8
6.4478,14.099,0.99527617296615,0.97212835492644,8
6.4574,14.189,0.99415356945081,0.96662303539194,8
6.4002,14.056,0.99407702761203,0.96627139479589,8
6.3092,13.81,0.99456714538445,0.968695144014,8
6.3289,13.927,0.9928567758931,0.96040674827462,8
6.2774,13.826,0.99275724085708,0.95990429097186,8
6.2382,13.762,0.99225364103603,0.95746408066441,8
6.1769,13.658,0.9928036831657,0.95996603626516,8
6.1685,13.695,0.99135320464398,0.95293724777208,8
6.7564,14.57,0.99701189947124,0.98074309926404,8
6.6891,14.471,0.99677580855073,0.97958437813411,8
6.5889,14.383,0.99560503098227,0.97375471853775,8
6.5213,14.323,0.99381480164849,0.9650239777863,8
6.3578,14.04,0.99245644458373,0.95839287901419,8
6.1612,13.737,0.98950522689843,0.9439851293195,8
6.0905,13.684,0.98814242530481,0.93704942012078,9
6.0303,13.582,0.98856384549209,0.93884811043836,9
5.9715,13.461,0.98827136018219,0.93739206206281,9
5.9838,13.633,0.98562813329548,0.92388911426649,9
5.9185,13.493,0.9855254263188,0.92331473085404,9
5.8822,13.471,0.98405399893601,0.91575888185204,9
5.8098,13.318,0.98455824812077,0.91804431775878,9
5.7734,13.308,0.98304605586213,0.91006517156262,9
5.7373,13.319,0.98174873655586,0.90278484531306,9
5.6652,13.139,0.9807712001754,0.89808571917894,9
5.5926,12.971,0.98018944827262,0.89516539917918,9
